Name,title,url,content,tags
access.alumniandvisitor,Alumni Access,https://library.sjsu.edu/alumni,"As a former SJSU student, you can still access the SJSU library by visiting the King Library in person. You can use the public access computers by reserving them in advance and obtaining a San Jose Public Library Card. Additionally, you can request Community User access through the San Jose Public Library to check out university-owned books. For more information on accessing library resources as an alumni, you can visit the SJSU Alumni Access to Library Scholarly Resources guide.
                                                                                                                                                                                                                                                                                                                                                                                                ",Alumni
account.librarycard.sjpl,SJSU & SJPL Library Card,https://library.sjsu.edu/borrowing-requesting/borrowing-requesting,"If you are an SJSU student, faculty, or staff, your SJSU Tower card serves as your library card to checkout SJSU materials. 
For members of the public, you can check out San Jose Public Library materials with a SJPL Library Card. It's free! Additionally, you can request Community User access through the San Jose Public Library Website to check out university-owned books. 
","Public Access, Community User, Library Access, SJPL Library Card, Tower Card, Library Borrowing, Alumni, Library Account, SJSU Students, Faculty, and Staff, San José Public Library Patrons"
account.onesearch.login (v.1),View OneSearch Library Account,https://csu-sjsu.primo.exlibrisgroup.com/discovery/login?vid=01CALS_SJO:01CALS_SJO,"Sign in to your OneSearch Account to view your library loans, requests, and fines.","Account Login, OneSearch Account,"
account.onesearch.loginerror (v.1),Trouble Logging Into OneSearch,https://library.sjsu.edu/alumni,"Having trouble logging into OneSearch? Please contact Library Accounts to check the status of your library account. 

Phone: 408-808-2000
Email: library-accounts@sjsu.edu
or in person on the 1st floor of the library.","Library Account Issues, Account Issues, Login Support"
account.returns.fines (v.2) ,See Borrowing and Requesting,https://library.sjsu.edu/borrowing-requesting,"There are no daily fines for SJSU print materials, but they will be considered lost at 14 days overdue and you will be billed the replacement cost of $110 per item. We do not accept physical replacements for lost materials. No refunds will be given after an item is paid for, including instances where an item has been found after it has been paid. If you wish to contact the library about this issue, please call 408-808-2000 or email library-accounts@sjsu.edu

For late fees on a laptop or other device, please contact Student Computing Services at library-student-tech-resources@sjsu.edu

For fines on Interlibrary Loan (ILL) items, please contact library-ils-group@sjsu.edu","fines, fees, late fees for SJSU material, book replacement"
account.returns.locations (v.2),See Borrowing and Requesting,https://library.sjsu.edu/borrowing-requesting,"You can return items at the book drop near the circulation desk during library open hours. The outside book return box is open after closing. The borrower is responsible for loss or damage charges resulting from improper returns. Items returned after the Library has closed are considered returned on the next open day.  

SJSU Course Reserves, CSU/Interlibrary Loan, and devices and equipment must be returned to the King Library Circulation Desk located on the first floor and not to the outside book drops. 

Questions? Visit the circulation desk on the first floor or contact staff via chat, email (library-accounts@sjsu.edu), or telephone (408-808-2000).

Please note: 
• SJSU & ILL books and materials must be returned to the SJSU Library only.                                                                                                                                                            
• SJPL books and materials can be returned to any SJPL branch.","returns, book drop, return locations"
borrow.breaks (v.1),Didn't answer your question? Click here to Email a Librarian,https://library.sjsu.edu/ask-librarian/ask-librarian,"The SJSU library remains operating during winter, spring, and summer breaks. Most functions of the library, including requesting and borrowing books, will continue to be available.","holiday hours, breaks"
borrow.coursereserves.afforablelearningsolutions.textbooks (v.2) (stay-at-home),Course Reserves Policies,https://library.sjsu.edu/course-reserves/course-reserves,"1. Search for the book or e-book on the OneSearch Library Database. If it's a physical reserve, you can sign in to request it and pick it up at the Circulation Desk on the 1st floor. 

2. Library Course Materials may also be found in your Canvas course.   

3. Use the following links to find eTextbooks, Course Reserves and other affordable and free textbooks options (Affordable Learning Solutions).","course reserves, eTextbooks, Find textbooks, Course Reserves Information for Students, Using Course Reserves"
borrow.coursereserves.latefees (v.2) ,See Course Reserves,https://library.sjsu.edu/course-reserves/course-reserves,"Late fees for Course Reserves: Hourly checkouts: $1 per hour, $20 maximum fine
Daily checkouts: $5 per day, $120 maximum fine
Fines must be paid online; no cash or checks will be accepted.If you have any questions, please contact library-accounts@sjsu.edu.",late fees and fines for course reserves
borrow.devices.scs (v.3),Visit Student Computing Services (SCS),http://library.sjsu.edu/student-computing-services/,"You can borrow laptops, iPads, hotspots, chargers, headphones, calculators and other equipment for free from Student Computing Services, now located at the Circulation Desk on the 1st floor of the library. 💻 All equipment check-outs are done in person and on a first-come, first-served basis. Don't forget to bring your Tower ID card to check items out!","Student Computing Services, equipment rentals, technology rentals, borrow technology, SCS, ipads, headphones, calulators, chargers, other technical equipment"
borrow.devices.scs.contact (v.1),Visit Student Computing Services (SCS),http://library.sjsu.edu/student-computing-services/,"To receive information on available devices, you can contact Student Computing Services directly using the following:

Phone: 408-808-2470
Email: library-student-tech-resources@sjsu.edu
Location: Library 1st floor (Circulation Desk)","Student Computing Services Contact, SCS Contact"
borrow.itemnotcheckedout (v.1),Learn about borrowing and requesting,https://library.sjsu.edu/borrowing-requesting/borrowing-requesting,Found something weird on your library account? Please email library-accounts@sjsu.edu,item not checked out
borrow.renewals (v.1),Login to SJSU OneSearch account,https://csu-sjsu.primo.exlibrisgroup.com/discovery/search?vid=01CALS_SJO:01CALS_SJO,"To renew an item, sign in to your library (OneSearch) account, select the item you want to renew under Loans, and click Renew.","renew items, renew books, renew materials"
borrow.request.hold.status (v.1),OneSearch Sign-In Page,https://csu-sjsu.primo.exlibrisgroup.com/discovery/login?vid=01CALS_SJO:01CALS_SJO,"In order to view your holds, you'll have to sign in to your OneSearch account first. Once you are signed in, you can view the status of your hold under ""Requests.""","view status of holds, view requests, hold status, "
borrowingandrequesting.borrow.loanperiods.limits (v.2) (stay-at-home),See Borrowing and Requesting,https://library.sjsu.edu/borrowing-requesting,"To borrow library materials, you will need your Tower ID card. There are no limits on the number of items SJSU borrowers can check out. Loan periods are as follows:

Undergrad: 16 weeks from date of checkout, no renewals
Graduate: 16 weeks from date of checkout, 5 renewals
Faculty & Staff: 1 year from date of checkout, 10 renewals
SJPL patrons: 3 weeks from date of checkout, 3 renewals","loan policy, borrowing, loan periods, book due dates"
borrowingandrequesting.CSU+.fines (v.3),See Borrowing and Requesting,https://library.sjsu.edu/borrowing-requesting,"There are no daily fines for materials borrowed from other CSU libraries, but they will be considered lost at 14 days overdue and you will be billed the replacement cost of $90 per item. Fines must be paid online on your library OneSearch account; no cash or checks will be accepted.

If you have any questions about CSU+ fines, please contact library-accounts@sjsu.edu","CSU+ fines, CSU+ fees, Fines for CSU Materials, "
borrowingandrequesting.CSU+.in-personborrowing (v.2) (stay-at-home),Learn more about Borrowing from Other Libraries,https://library.sjsu.edu/borrowing-requesting/borrow-other-libraries/,"Current SJSU students, staff, and faculty can visit and borrow from all CSU libraries with their Tower card and photo ID.

Distance students who would like to take advantage of this program can request a Tower card from the Bursar's Office: bursar@sjsu.edu","Borrowing from other libraries, borrowing from other california state universities, California State University Collections"
borrowingandrequesting.duedates (v.1),Login to OneSearch,"https://csu-sjsu.primo.exlibrisgroup.com/discovery/login?vid=01CALS_SJO:01CALS_SJO
, ,
https://library.sjsu.edu/borrowing-requesting","To view the due date for books you have checked out, you will have to login to your OneSearch account first. Loan information can be found under ""Overview"" or ""Loans.""","View loans, view due dates,"
borrowingandrequesting.holds (v.1),Learn More About CSU+ and ILL,https://library.sjsu.edu/borrow-other-libraries,"When you find an item on the SJSU OneSearch online catalog that you are interested in reserving, click the ""Request this Item"" button. You must be logged in to your OneSearch account first to access this function.

If the item is not available through the library, it can be requested from other university libraries through CSU+ or Interlibrary Loan (ILL).

Note: Holds cannot be extended and must be returned by the given due date.","Request, Request Via OneSearch"
borrowingandrequesting.interlibraryloan.Illiad (v.2) (stay-at-home),Learn more about Interlibrary Loan,https://library.sjsu.edu/interlibrary-loan/interlibrary-loan,"You can use Interlibrary Loan (ILLiad) to request books, articles (print or electronic), and dissertations that the library does not own.","Interlibrary loan, ILL, Illiad"
